Fixed = 1;
Nodes = {"Node_0","Node_1","Node_2","Node_3","Node_4","Node_5","Node_6","Node_7","Node_8","Node_9"};
Capacity = [37,40,41,33,37,38,37,41,40,41];
Functions = {"Service 0","Service 1","Service 2","Service 3","Service 4","Service 5","Service 6","Service 7","Service 8","Service 9"};
NbDemandSources = 10;
DemandLevel = [
[1,2,0,0,1,0,1,0,0,0]
[1,2,2,1,1,0,1,1,1,0]
[1,2,2,0,0,1,0,0,0,2]
[1,2,0,1,1,0,0,1,0,2]
[0,0,2,0,1,0,1,0,0,2]
[1,2,0,0,1,0,0,1,1,0]
[0,2,2,1,0,0,1,1,1,0]
[0,2,2,1,0,0,1,1,0,2]
[0,2,2,1,1,0,0,1,0,2]
[1,2,0,0,1,0,1,0,1,0]
];
SupplyCost = [
[2,1,15,8,17,3,6,23,27,2]
[6,2,6,7,2,14,20,14,8,19]
[8,9,2,18,4,25,3,18,10,7]
[3,14,1,2,3,13,2,17,23,6]
[7,4,4,2,2,6,12,12,2,4]
[24,18,18,14,16,2,3,26,10,24]
[29,23,22,11,9,6,2,20,3,2]
[1,23,14,9,8,2,9,2,1,23]
[9,6,24,17,3,27,14,3,2,23]
[9,28,20,24,7,1,5,1,7,2]
];
